tokenID,name,description,file_name,external_url,attributes[Background],attributes[Name],attributes[Material]
56,item56,This is the sample nft.,56.png,https://example.com/?Background=YellowOrange&Name=Kingfrog&Material=Red,YellowOrange,Kingfrog,Red
57,item57,This is the sample nft.,57.png,https://example.com/?Background=WackyPurp&Name=Kingfrog&Material=Pink,WackyPurp,Kingfrog,Pink
58,item58,This is the sample nft.,58.png,https://example.com/?Background=WackyToxic&Name=KingStronk&Material=Blue,WackyToxic,KingStronk,Blue
59,item59,This is the sample nft.,59.png,https://example.com/?Background=WackyMeta&Name=KingStronk_low&Material=Wireframe,WackyMeta,KingStronk_low,Wireframe
60,item60,This is the sample nft.,60.png,https://example.com/?Background=YellowOrange&Name=Sofa&Material=Pink,YellowOrange,Sofa,Pink
61,item61,This is the sample nft.,61.png,https://example.com/?Background=TieDyeBlack&Name=Sofa&Material=Rainbow2,TieDyeBlack,Sofa,Rainbow2
62,item62,This is the sample nft.,62.png,https://example.com/?Background=WackyDeepPurp&Name=KingStronk&Material=Rainbow2,WackyDeepPurp,KingStronk,Rainbow2
63,item63,This is the sample nft.,63.png,https://example.com/?Background=BubbleGum&Name=KingStronk&Material=Red,BubbleGum,KingStronk,Red
64,item64,This is the sample nft.,64.png,https://example.com/?Background=WackyPurp&Name=KingStronk&Material=Black,WackyPurp,KingStronk,Black
65,item65,This is the sample nft.,65.png,https://example.com/?Background=TieDyeBlack&Name=Ricky_low&Material=Black,TieDyeBlack,Ricky_low,Black
66,item66,This is the sample nft.,66.png,https://example.com/?Background=WackyMeta&Name=Kingfrog_low&Material=Green,WackyMeta,Kingfrog_low,Green
67,item67,This is the sample nft.,67.png,https://example.com/?Background=WackySpiralPurp&Name=Chip&Material=Rainbow2,WackySpiralPurp,Chip,Rainbow2
68,item68,This is the sample nft.,68.png,https://example.com/?Background=WackyLime&Name=KingStronk&Material=Original,WackyLime,KingStronk,Original
69,item69,This is the sample nft.,69.png,https://example.com/?Background=WackyLime&Name=Chip_low&Material=Green,WackyLime,Chip_low,Green
70,item70,This is the sample nft.,70.png,https://example.com/?Background=Toxic&Name=Ricky_low&Material=Orange,Toxic,Ricky_low,Orange
71,item71,This is the sample nft.,71.png,https://example.com/?Background=Ash&Name=Kingfrog&Material=Green,Ash,Kingfrog,Green
72,item72,This is the sample nft.,72.png,https://example.com/?Background=Sunset&Name=KingStronk&Material=Bronze,Sunset,KingStronk,Bronze
73,item73,This is the sample nft.,73.png,https://example.com/?Background=WackySpiralBlack&Name=Sofa&Material=Blue,WackySpiralBlack,Sofa,Blue
74,item74,This is the sample nft.,74.png,https://example.com/?Background=WackySkyHorizon&Name=Sofa_low&Material=Blue,WackySkyHorizon,Sofa_low,Blue
75,item75,This is the sample nft.,75.png,https://example.com/?Background=WackyDeepPurp&Name=Kingfrog_low&Material=Glow,WackyDeepPurp,Kingfrog_low,Glow
76,item76,This is the sample nft.,76.png,https://example.com/?Background=Grey&Name=Kingfrog_low&Material=Red,Grey,Kingfrog_low,Red
77,item77,This is the sample nft.,77.png,https://example.com/?Background=WackyTieDyeNight&Name=Sofa_low&Material=Bronze,WackyTieDyeNight,Sofa_low,Bronze
78,item78,This is the sample nft.,78.png,https://example.com/?Background=WackyDeepPurp&Name=KingStronk_low&Material=Pink,WackyDeepPurp,KingStronk_low,Pink
79,item79,This is the sample nft.,79.png,https://example.com/?Background=TieDyeNight&Name=Sunshine_low&Material=Black,TieDyeNight,Sunshine_low,Black
80,item80,This is the sample nft.,80.png,https://example.com/?Background=WackySunset&Name=KingStronk&Material=Purple,WackySunset,KingStronk,Purple
81,item81,This is the sample nft.,81.png,https://example.com/?Background=WackyPurpVortex&Name=Kingfrog_low&Material=Purple,WackyPurpVortex,Kingfrog_low,Purple
82,item82,This is the sample nft.,82.png,https://example.com/?Background=WackyHorizonBlack&Name=Ricky&Material=Red,WackyHorizonBlack,Ricky,Red
83,item83,This is the sample nft.,83.png,https://example.com/?Background=Sky&Name=Sofa_low&Material=Green,Sky,Sofa_low,Green
84,item84,This is the sample nft.,84.png,https://example.com/?Background=WackyToxic&Name=Chip_low&Material=Green,WackyToxic,Chip_low,Green
85,item85,This is the sample nft.,85.png,https://example.com/?Background=WackySky&Name=Sofa&Material=Silver,WackySky,Sofa,Silver
86,item86,This is the sample nft.,86.png,https://example.com/?Background=Ash&Name=Kingfrog_low&Material=Pink,Ash,Kingfrog_low,Pink
87,item87,This is the sample nft.,87.png,https://example.com/?Background=WackyYellowOrangeSpiral&Name=Chip_low&Material=Orange,WackyYellowOrangeSpiral,Chip_low,Orange
88,item88,This is the sample nft.,88.png,https://example.com/?Background=Grey&Name=Chip&Material=Purple,Grey,Chip,Purple
89,item89,This is the sample nft.,89.png,https://example.com/?Background=WackySky&Name=KingStronk_low&Material=Orange,WackySky,KingStronk_low,Orange
90,item90,This is the sample nft.,90.png,https://example.com/?Background=WackySkyHorizon&Name=KingStronk&Material=Rainbow2,WackySkyHorizon,KingStronk,Rainbow2
91,item91,This is the sample nft.,91.png,https://example.com/?Background=Green&Name=Ricky_low&Material=Blue,Green,Ricky_low,Blue
92,item92,This is the sample nft.,92.png,https://example.com/?Background=WackyHorizonBlack&Name=Ricky&Material=Orange,WackyHorizonBlack,Ricky,Orange
93,item93,This is the sample nft.,93.png,https://example.com/?Background=WackyHorizonBlack&Name=Kingfrog_low&Material=Rainbow2,WackyHorizonBlack,Kingfrog_low,Rainbow2
94,item94,This is the sample nft.,94.png,https://example.com/?Background=Candy&Name=Sofa_low&Material=Black,Candy,Sofa_low,Black
95,item95,This is the sample nft.,95.png,https://example.com/?Background=Blue&Name=Chip&Material=Red,Blue,Chip,Red
96,item96,This is the sample nft.,96.png,https://example.com/?Background=WackyTieDyeNight&Name=Sunshine&Material=Glow,WackyTieDyeNight,Sunshine,Glow
97,item97,This is the sample nft.,97.png,https://example.com/?Background=Green&Name=Chip&Material=Wireframe,Green,Chip,Wireframe
98,item98,This is the sample nft.,98.png,https://example.com/?Background=DeepBlack&Name=Sunshine&Material=Original,DeepBlack,Sunshine,Original
99,item99,This is the sample nft.,99.png,https://example.com/?Background=WackyBlue&Name=Chip_low&Material=Original,WackyBlue,Chip_low,Original
100,item100,This is the sample nft.,100.png,https://example.com/?Background=DeepBlack&Name=Chip_low&Material=Purple,DeepBlack,Chip_low,Purple
101,item101,This is the sample nft.,101.png,https://example.com/?Background=WackySky&Name=Chip_low&Material=Purple,WackySky,Chip_low,Purple
102,item102,This is the sample nft.,102.png,https://example.com/?Background=Ash&Name=Chip&Material=Purple,Ash,Chip,Purple
103,item103,This is the sample nft.,103.png,https://example.com/?Background=Toxic&Name=Sunshine&Material=Orange,Toxic,Sunshine,Orange
104,item104,This is the sample nft.,104.png,https://example.com/?Background=Grey&Name=KingStronk&Material=Purple,Grey,KingStronk,Purple
105,item105,This is the sample nft.,105.png,https://example.com/?Background=Green&Name=Chip_low&Material=Rainbow,Green,Chip_low,Rainbow
106,item106,This is the sample nft.,106.png,https://example.com/?Background=Pink&Name=Chip&Material=Orange,Pink,Chip,Orange
107,item107,This is the sample nft.,107.png,https://example.com/?Background=BubbleGum&Name=Ricky&Material=Silver,BubbleGum,Ricky,Silver
108,item108,This is the sample nft.,108.png,https://example.com/?Background=WackyCandy&Name=KingStronk_low&Material=Blue,WackyCandy,KingStronk_low,Blue
109,item109,This is the sample nft.,109.png,https://example.com/?Background=WackyYellowOrangeSpiral&Name=Chip_low&Material=Orange,WackyYellowOrangeSpiral,Chip_low,Orange
110,item110,This is the sample nft.,110.png,https://example.com/?Background=YellowOrange&Name=Ricky&Material=Pink,YellowOrange,Ricky,Pink
111,item111,This is the sample nft.,111.png,https://example.com/?Background=WackyPinkPurp&Name=Ricky_low&Material=Green,WackyPinkPurp,Ricky_low,Green
112,item112,This is the sample nft.,112.png,https://example.com/?Background=TieDyeBlack&Name=KingStronk&Material=Pink,TieDyeBlack,KingStronk,Pink
113,item113,This is the sample nft.,113.png,https://example.com/?Background=WackyTieDye&Name=Chip_low&Material=Red,WackyTieDye,Chip_low,Red
114,item114,This is the sample nft.,114.png,https://example.com/?Background=Blue&Name=Chip&Material=Red,Blue,Chip,Red
115,item115,This is the sample nft.,115.png,https://example.com/?Background=WackyPinkPurp&Name=Sofa_low&Material=Gold,WackyPinkPurp,Sofa_low,Gold
116,item116,This is the sample nft.,116.png,https://example.com/?Background=Toxic&Name=KingStronk&Material=Blue,Toxic,KingStronk,Blue
117,item117,This is the sample nft.,117.png,https://example.com/?Background=Blue&Name=Ricky&Material=Purple,Blue,Ricky,Purple
118,item118,This is the sample nft.,118.png,https://example.com/?Background=WackyLightBlue&Name=Ricky_low&Material=Purple,WackyLightBlue,Ricky_low,Purple
119,item119,This is the sample nft.,119.png,https://example.com/?Background=DeepPurple&Name=Kingfrog&Material=Bronze,DeepPurple,Kingfrog,Bronze
120,item120,This is the sample nft.,120.png,https://example.com/?Background=WackyPinkPurp&Name=Ricky_low&Material=Silver,WackyPinkPurp,Ricky_low,Silver
121,item121,This is the sample nft.,121.png,https://example.com/?Background=WackyLightBlue&Name=KingStronk_low&Material=Wireframe,WackyLightBlue,KingStronk_low,Wireframe
122,item122,This is the sample nft.,122.png,https://example.com/?Background=WackySunset&Name=Kingfrog&Material=Purple,WackySunset,Kingfrog,Purple
123,item123,This is the sample nft.,123.png,https://example.com/?Background=WackyHorizonBlack&Name=KingStronk&Material=Bronze,WackyHorizonBlack,KingStronk,Bronze
124,item124,This is the sample nft.,124.png,https://example.com/?Background=WackyTieDyeNight&Name=Sunshine&Material=Blue,WackyTieDyeNight,Sunshine,Blue
125,item125,This is the sample nft.,125.png,https://example.com/?Background=WackyPinkPurp&Name=KingStronk_low&Material=Black,WackyPinkPurp,KingStronk_low,Black
126,item126,This is the sample nft.,126.png,https://example.com/?Background=WackyLightBlue&Name=KingStronk&Material=Orange,WackyLightBlue,KingStronk,Orange
127,item127,This is the sample nft.,127.png,https://example.com/?Background=WackyPurpVortex&Name=Kingfrog_low&Material=Green,WackyPurpVortex,Kingfrog_low,Green
128,item128,This is the sample nft.,128.png,https://example.com/?Background=Green&Name=Kingfrog_low&Material=Bronze,Green,Kingfrog_low,Bronze
129,item129,This is the sample nft.,129.png,https://example.com/?Background=WackyLime&Name=KingStronk_low&Material=Purple,WackyLime,KingStronk_low,Purple
130,item130,This is the sample nft.,130.png,https://example.com/?Background=DeepBlack&Name=Chip_low&Material=Rainbow2,DeepBlack,Chip_low,Rainbow2
131,item131,This is the sample nft.,131.png,https://example.com/?Background=WackyPurpVortex&Name=Kingfrog&Material=Red,WackyPurpVortex,Kingfrog,Red
132,item132,This is the sample nft.,132.png,https://example.com/?Background=Pink&Name=KingStronk&Material=Bronze,Pink,KingStronk,Bronze
133,item133,This is the sample nft.,133.png,https://example.com/?Background=WackyMeta&Name=Chip_low&Material=Original,WackyMeta,Chip_low,Original
134,item134,This is the sample nft.,134.png,https://example.com/?Background=TieDyeBlack&Name=Sofa&Material=Yellow,TieDyeBlack,Sofa,Yellow
135,item135,This is the sample nft.,135.png,https://example.com/?Background=WackyGrey&Name=Chip&Material=Red,WackyGrey,Chip,Red
136,item136,This is the sample nft.,136.png,https://example.com/?Background=Toxic&Name=Ricky_low&Material=Original,Toxic,Ricky_low,Original
137,item137,This is the sample nft.,137.png,https://example.com/?Background=DeepPurple&Name=Chip_low&Material=Green,DeepPurple,Chip_low,Green
138,item138,This is the sample nft.,138.png,https://example.com/?Background=Blue&Name=Kingfrog&Material=Black,Blue,Kingfrog,Black
139,item139,This is the sample nft.,139.png,https://example.com/?Background=WackyLime&Name=Chip&Material=Pink,WackyLime,Chip,Pink
140,item140,This is the sample nft.,140.png,https://example.com/?Background=Green&Name=Ricky&Material=Green,Green,Ricky,Green
141,item141,This is the sample nft.,141.png,https://example.com/?Background=WackyToxic&Name=Ricky&Material=Orange,WackyToxic,Ricky,Orange
142,item142,This is the sample nft.,142.png,https://example.com/?Background=WackyToxic&Name=Sofa&Material=Red,WackyToxic,Sofa,Red
143,item143,This is the sample nft.,143.png,https://example.com/?Background=WackyYellowOrangeSpiral&Name=Ricky&Material=Red,WackyYellowOrangeSpiral,Ricky,Red
144,item144,This is the sample nft.,144.png,https://example.com/?Background=WackyPurpVortex&Name=KingStronk&Material=Rainbow,WackyPurpVortex,KingStronk,Rainbow
145,item145,This is the sample nft.,145.png,https://example.com/?Background=TieDyeBlack&Name=Chip&Material=Yellow,TieDyeBlack,Chip,Yellow
146,item146,This is the sample nft.,146.png,https://example.com/?Background=WackySpiralSky&Name=Sunshine&Material=Green,WackySpiralSky,Sunshine,Green
147,item147,This is the sample nft.,147.png,https://example.com/?Background=Ash&Name=Kingfrog&Material=Rainbow2,Ash,Kingfrog,Rainbow2
148,item148,This is the sample nft.,148.png,https://example.com/?Background=WackySpiralBlack&Name=KingStronk_low&Material=Rainbow2,WackySpiralBlack,KingStronk_low,Rainbow2
149,item149,This is the sample nft.,149.png,https://example.com/?Background=WackyAsh&Name=KingStronk_low&Material=Red,WackyAsh,KingStronk_low,Red
150,item150,This is the sample nft.,150.png,https://example.com/?Background=Candy&Name=Sofa&Material=Pink,Candy,Sofa,Pink
151,item151,This is the sample nft.,151.png,https://example.com/?Background=WackyTieDyeNight&Name=Sunshine&Material=Original,WackyTieDyeNight,Sunshine,Original
152,item152,This is the sample nft.,152.png,https://example.com/?Background=Sky&Name=Ricky_low&Material=Red,Sky,Ricky_low,Red
153,item153,This is the sample nft.,153.png,https://example.com/?Background=WackyBlue&Name=Chip&Material=Green,WackyBlue,Chip,Green
154,item154,This is the sample nft.,154.png,https://example.com/?Background=WackyTieDyeNight&Name=Sunshine_low&Material=Pink,WackyTieDyeNight,Sunshine_low,Pink
155,item155,This is the sample nft.,155.png,https://example.com/?Background=WackyToxic&Name=Sofa&Material=Glow,WackyToxic,Sofa,Glow
156,item156,This is the sample nft.,156.png,https://example.com/?Background=WackyAsh&Name=KingStronk_low&Material=Pink,WackyAsh,KingStronk_low,Pink
157,item157,This is the sample nft.,157.png,https://example.com/?Background=BubbleGum&Name=Ricky_low&Material=Gold,BubbleGum,Ricky_low,Gold
158,item158,This is the sample nft.,158.png,https://example.com/?Background=WackySkyHorizon&Name=Sofa_low&Material=Purple,WackySkyHorizon,Sofa_low,Purple
159,item159,This is the sample nft.,159.png,https://example.com/?Background=WackyPurp&Name=Chip_low&Material=Rainbow2,WackyPurp,Chip_low,Rainbow2
160,item160,This is the sample nft.,160.png,https://example.com/?Background=BubbleGum&Name=Chip&Material=Blue,BubbleGum,Chip,Blue
161,item161,This is the sample nft.,161.png,https://example.com/?Background=WackyYellowOrange&Name=Kingfrog_low&Material=Red,WackyYellowOrange,Kingfrog_low,Red
162,item162,This is the sample nft.,162.png,https://example.com/?Background=Sunset&Name=Chip_low&Material=Glow,Sunset,Chip_low,Glow
163,item163,This is the sample nft.,163.png,https://example.com/?Background=WackyGrey&Name=Sunshine&Material=Yellow,WackyGrey,Sunshine,Yellow
164,item164,This is the sample nft.,164.png,https://example.com/?Background=TieDye&Name=Ricky&Material=Green,TieDye,Ricky,Green
165,item165,This is the sample nft.,165.png,https://example.com/?Background=WackySpiralPurp&Name=Kingfrog&Material=Orange,WackySpiralPurp,Kingfrog,Orange
166,item166,This is the sample nft.,166.png,https://example.com/?Background=Candy&Name=Ricky&Material=Original,Candy,Ricky,Original
167,item167,This is the sample nft.,167.png,https://example.com/?Background=TieDye&Name=Sunshine_low&Material=Silver,TieDye,Sunshine_low,Silver
168,item168,This is the sample nft.,168.png,https://example.com/?Background=WackyDeepPurp&Name=Chip&Material=Glow,WackyDeepPurp,Chip,Glow
169,item169,This is the sample nft.,169.png,https://example.com/?Background=WackyMeta&Name=Chip_low&Material=Yellow,WackyMeta,Chip_low,Yellow
170,item170,This is the sample nft.,170.png,https://example.com/?Background=WackySpiralPurp&Name=KingStronk_low&Material=Bronze,WackySpiralPurp,KingStronk_low,Bronze
171,item171,This is the sample nft.,171.png,https://example.com/?Background=Candy&Name=Kingfrog_low&Material=Blue,Candy,Kingfrog_low,Blue
172,item172,This is the sample nft.,172.png,https://example.com/?Background=Green&Name=Kingfrog&Material=Green,Green,Kingfrog,Green
173,item173,This is the sample nft.,173.png,https://example.com/?Background=WackySpiralPurp&Name=Sunshine&Material=Original,WackySpiralPurp,Sunshine,Original
174,item174,This is the sample nft.,174.png,https://example.com/?Background=WackyHorizonBlack&Name=Ricky_low&Material=Yellow,WackyHorizonBlack,Ricky_low,Yellow
175,item175,This is the sample nft.,175.png,https://example.com/?Background=WackyBlue&Name=Sofa&Material=Wireframe,WackyBlue,Sofa,Wireframe
176,item176,This is the sample nft.,176.png,https://example.com/?Background=TieDye&Name=Ricky_low&Material=Pink,TieDye,Ricky_low,Pink
177,item177,This is the sample nft.,177.png,https://example.com/?Background=DeepBlack&Name=KingStronk_low&Material=Blue,DeepBlack,KingStronk_low,Blue
178,item178,This is the sample nft.,178.png,https://example.com/?Background=WackyBlueYellow&Name=Kingfrog&Material=Red,WackyBlueYellow,Kingfrog,Red
179,item179,This is the sample nft.,179.png,https://example.com/?Background=WackyLime&Name=Kingfrog&Material=Orange,WackyLime,Kingfrog,Orange
180,item180,This is the sample nft.,180.png,https://example.com/?Background=WackySpiralPurp&Name=KingStronk&Material=Red,WackySpiralPurp,KingStronk,Red
181,item181,This is the sample nft.,181.png,https://example.com/?Background=WackyToxic&Name=Chip&Material=Purple,WackyToxic,Chip,Purple
182,item182,This is the sample nft.,182.png,https://example.com/?Background=WackyMeta&Name=Sofa&Material=Green,WackyMeta,Sofa,Green
183,item183,This is the sample nft.,183.png,https://example.com/?Background=WackyBlue&Name=Chip_low&Material=Silver,WackyBlue,Chip_low,Silver
184,item184,This is the sample nft.,184.png,https://example.com/?Background=WackyAsh&Name=KingStronk&Material=Purple,WackyAsh,KingStronk,Purple
185,item185,This is the sample nft.,185.png,https://example.com/?Background=YellowOrange&Name=Chip&Material=Red,YellowOrange,Chip,Red
186,item186,This is the sample nft.,186.png,https://example.com/?Background=TieDye&Name=Kingfrog&Material=Purple,TieDye,Kingfrog,Purple
187,item187,This is the sample nft.,187.png,https://example.com/?Background=WackySunset&Name=Kingfrog&Material=Original,WackySunset,Kingfrog,Original
188,item188,This is the sample nft.,188.png,https://example.com/?Background=TieDyeNight&Name=Chip_low&Material=Glow,TieDyeNight,Chip_low,Glow
189,item189,This is the sample nft.,189.png,https://example.com/?Background=WackyToxic&Name=Sofa&Material=Black,WackyToxic,Sofa,Black
190,item190,This is the sample nft.,190.png,https://example.com/?Background=Toxic&Name=KingStronk&Material=Black,Toxic,KingStronk,Black
191,item191,This is the sample nft.,191.png,https://example.com/?Background=WackyPurpVortex&Name=Kingfrog&Material=Gold,WackyPurpVortex,Kingfrog,Gold
192,item192,This is the sample nft.,192.png,https://example.com/?Background=Sky&Name=Ricky_low&Material=Glow,Sky,Ricky_low,Glow
193,item193,This is the sample nft.,193.png,https://example.com/?Background=WackySkyHorizon&Name=Sofa&Material=Red,WackySkyHorizon,Sofa,Red
194,item194,This is the sample nft.,194.png,https://example.com/?Background=WackySpiralPurp&Name=Kingfrog&Material=Orange,WackySpiralPurp,Kingfrog,Orange
195,item195,This is the sample nft.,195.png,https://example.com/?Background=DeepPurple&Name=Chip&Material=Purple,DeepPurple,Chip,Purple
196,item196,This is the sample nft.,196.png,https://example.com/?Background=TieDyeBlack&Name=Kingfrog&Material=Yellow,TieDyeBlack,Kingfrog,Yellow
197,item197,This is the sample nft.,197.png,https://example.com/?Background=WackySunset&Name=Chip_low&Material=Blue,WackySunset,Chip_low,Blue
198,item198,This is the sample nft.,198.png,https://example.com/?Background=TieDyeBlack&Name=Chip_low&Material=Red,TieDyeBlack,Chip_low,Red
199,item199,This is the sample nft.,199.png,https://example.com/?Background=DeepPurple&Name=Chip_low&Material=Black,DeepPurple,Chip_low,Black
200,item200,This is the sample nft.,200.png,https://example.com/?Background=WackyBlue&Name=KingStronk&Material=Yellow,WackyBlue,KingStronk,Yellow
201,item201,This is the sample nft.,201.png,https://example.com/?Background=DeepPurple&Name=KingStronk_low&Material=Purple,DeepPurple,KingStronk_low,Purple
